"order_id","order_date","status","fulfilment","sales_channel","ship_service_level","style","sku","category","size","asin","courier_status","quantity","currency","amount","ship_city","ship_state","ship_postal_code","ship_country","b2b"
"171-0667815-7574720","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE3802","JNE3802-KR-S","kurta","S","B09K3TMQSK","Shipped",1,"INR",459,"CHENNAI","TAMIL NADU","600018.0","IN",FALSE
"171-7687960-9377156","2022-04-26","Shipped - Returned to Seller","Merchant","Amazon.in","Standard","SET324","SET324-KR-NP-L","Set","L","B09NQ44RNV","Shipped",1,"INR",597,"NAVI MUMBAI","MAHARASHTRA","410206.0","IN",FALSE
"406-6073591-4409943","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3160","JNE3160-KR-G-XL","kurta","XL","B07K4C1KTB","Shipped",1,"INR",685,"PUNE","MAHARASHTRA","411060.0","IN",FALSE
"404-4387391-2828347","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","BTM036","BTM036-PP-XXL","Bottom","XXL","B08KRQJNVD","Shipped",1,"INR",360,"Noida","UTTAR PRADESH","201301.0","IN",FALSE
"404-3246898-0154725","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","SET197","SET197-KR-NP-M","Set","M","B08B3YDL18","Shipped",1,"INR",759,"SILVASSA","DADRA AND NAGAR","396230.0","IN",FALSE
"406-8753631-2746716","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","J0079","J0079-SKD-XXXL","Set","3XL","B08XNHWN22","Shipped",1,"INR",1556,"NEW DELHI","DELHI","110045.0","IN",FALSE
"408-2955502-9709129","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","J0003","J0003-SET-M","Set","M","B0894XH3LN","Shipped",1,"INR",654,"ROHTAK","HARYANA","124001.0","IN",FALSE
"402-9153567-0453905","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3500","JNE3500-KR-S","kurta","S","B09812MBCD","Shipped",1,"INR",353,"near vighnaharta ganesh mandir","MAHARASHTRA","400709.0","IN",FALSE
"406-8753323-6489946","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","J0236","J0236-SKD-XXXL","Set","3XL","B08ZYPCX6Y","Shipped",1,"INR",922,"NEW DELHI","DELHI","110045.0","IN",FALSE
"407-8181864-8405141","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","J0008","J0008-SKD-M","Set","M","B0894YTN3H","Shipped",1,"INR",1065,"NEW DELHI","DELHI","110045.0","IN",FALSE
"402-7433689-3737968","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","J0341","J0341-DR-XS","Western Dress","XS","B099NS55L1","Shipped",1,"INR",744,"JHUMRI TILAIYA","JHARKHAND","825409.0","IN",FALSE
"408-8255578-5349900","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","BL103","BL103-XXL","Blouse","XXL","B085G9RB4Z","Shipped",1,"INR",460,"NEW DELHI","DELHI","110034.0","IN",FALSE
"402-4289604-6913112","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","SET110","SET110-KR-PP-M","Set","M","B0822TDMYH","Shipped",1,"INR",788,"NEW DELHI","DELHI","110030.0","IN",FALSE
"408-9303099-7715563","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","SET291","SET291-KR-PP-XL","Set","XL","B099NJV9X7","Shipped",1,"INR",599,"KONDAGAON","CHHATTISGARH","494226.0","IN",FALSE
"406-4233121-0052369","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE3633","JNE3633-KR-XS","kurta","XS","B094FNYJJ5","Shipped",1,"INR",459,"HYDERABAD","TELANGANA","500080.0","IN",FALSE
